beta1	beta2	A
-316.228	-316.228	150.825603
-316.228	-100.000	114.851278
-316.228	-31.623	102.903194
-316.228	-10.000	102.695124
-316.228	-3.162	101.954550
-316.228	-1.000	100.646325
-316.228	0.000	101.018326
-316.228	1.000	100.524730
-316.228	3.162	100.448653
-316.228	10.000	0.000000
-316.228	31.623	0.000000
-316.228	100.000	0.000001
-316.228	316.228	0.000000
-100.000	-316.228	150.753574
-100.000	-100.000	109.395451
-100.000	-31.623	102.736687
-100.000	-10.000	100.775265
-100.000	-3.162	102.052632
-100.000	-1.000	101.496238
-100.000	0.000	100.351868
-100.000	1.000	100.659291
-100.000	3.162	100.440930
-100.000	10.000	0.000000
-100.000	31.623	0.000001
-100.000	100.000	0.000001
-100.000	316.228	0.000000
-31.623	-316.228	153.718596
-31.623	-100.000	107.858063
-31.623	-31.623	100.114170
-31.623	-10.000	100.710775
-31.623	-3.162	100.341169
-31.623	-1.000	100.496506
-31.623	0.000	101.400398
-31.623	1.000	100.449877
-31.623	3.162	101.038772
-31.623	10.000	0.000000
-31.623	31.623	0.000000
-31.623	100.000	0.000000
-31.623	316.228	0.000000
-10.000	-316.228	nan
-10.000	-100.000	nan
-10.000	-31.623	nan
-10.000	-10.000	nan
-10.000	-3.162	nan
-10.000	-1.000	nan
-10.000	0.000	nan
-10.000	1.000	nan
-10.000	3.162	nan
-10.000	10.000	nan
-10.000	31.623	nan
-10.000	100.000	nan
-10.000	316.228	nan
-3.162	-316.228	145.014420
-3.162	-100.000	106.383678
-3.162	-31.623	103.291419
-3.162	-10.000	100.673073
-3.162	-3.162	100.094123
-3.162	-1.000	0.000000
-3.162	0.000	0.000000
-3.162	1.000	109.438335
-3.162	3.162	100.162497
-3.162	10.000	0.000000
-3.162	31.623	0.000000
-3.162	100.000	0.000000
-3.162	316.228	0.000000
-1.000	-316.228	145.383656
-1.000	-100.000	107.247327
-1.000	-31.623	100.463955
-1.000	-10.000	101.957657
-1.000	-3.162	100.100123
-1.000	-1.000	100.415064
-1.000	0.000	100.014001
-1.000	1.000	0.000001
-1.000	3.162	100.108477
-1.000	10.000	0.000000
-1.000	31.623	0.000000
-1.000	100.000	0.000000
-1.000	316.228	0.000000
0.000	-316.228	145.522916
0.000	-100.000	107.580597
0.000	-31.623	101.508810
0.000	-10.000	101.199128
0.000	-3.162	100.689650
0.000	-1.000	100.405898
0.000	0.000	100.164375
0.000	1.000	100.045125
0.000	3.162	20.029060
0.000	10.000	0.000000
0.000	31.623	0.000000
0.000	100.000	0.000000
0.000	316.228	0.000000
1.000	-316.228	145.648146
1.000	-100.000	107.883414
1.000	-31.623	102.462231
1.000	-10.000	102.030662
1.000	-3.162	100.134602
1.000	-1.000	100.470696
1.000	0.000	100.148527
1.000	1.000	100.064483
1.000	3.162	100.086042
1.000	10.000	0.000000
1.000	31.623	0.000000
1.000	100.000	0.000000
1.000	316.228	0.000000
3.162	-316.228	145.882640
3.162	-100.000	108.457576
3.162	-31.623	104.278686
3.162	-10.000	100.938001
3.162	-3.162	100.532714
3.162	-1.000	100.667847
3.162	0.000	100.545236
3.162	1.000	100.249699
3.162	3.162	100.036893
3.162	10.000	0.000000
3.162	31.623	0.000000
3.162	100.000	0.000000
3.162	316.228	0.000000
10.000	-316.228	146.427385
10.000	-100.000	109.819630
10.000	-31.623	102.659243
10.000	-10.000	100.978435
10.000	-3.162	100.271543
10.000	-1.000	100.461662
10.000	0.000	100.066024
10.000	1.000	100.003608
10.000	3.162	100.338925
10.000	10.000	0.000001
10.000	31.623	0.000000
10.000	100.000	0.000000
10.000	316.228	0.000000
31.623	-316.228	147.395897
31.623	-100.000	112.285580
31.623	-31.623	103.661788
31.623	-10.000	100.046236
31.623	-3.162	100.246284
31.623	-1.000	100.961584
31.623	0.000	100.179929
31.623	1.000	100.699879
31.623	3.162	100.000625
31.623	10.000	0.000000
31.623	31.623	0.000000
31.623	100.000	0.000000
31.623	316.228	0.000000
100.000	-316.228	148.734552
100.000	-100.000	115.593277
100.000	-31.623	105.249563
100.000	-10.000	100.811679
100.000	-3.162	100.368672
100.000	-1.000	100.084874
100.000	0.000	101.138807
100.000	1.000	100.520962
100.000	3.162	100.529478
100.000	10.000	0.000000
100.000	31.623	0.000000
100.000	100.000	0.000000
100.000	316.228	0.000000
316.228	-316.228	150.248859
316.228	-100.000	100.580746
316.228	-31.623	104.472690
316.228	-10.000	100.257415
316.228	-3.162	101.146032
316.228	-1.000	100.459799
316.228	0.000	100.601644
316.228	1.000	100.721064
316.228	3.162	100.034975
316.228	10.000	0.000000
316.228	31.623	0.000000
316.228	100.000	0.000000
316.228	316.228	0.000000
