lambda	beta	A
0.000	-3.162	33.580914
0.000	-1.000	3.141877
0.000	-0.316	3.141030
0.000	-0.100	3.140994
0.000	-0.032	3.140987
0.000	-0.010	3.140985
0.000	0.000	3.140984
0.000	0.010	3.140984
0.000	0.032	3.140982
0.000	0.100	3.140978
0.000	0.316	3.140969
0.000	1.000	3.140959
0.000	3.162	3.140955
0.000	-3.162	100.455762
0.000	-1.000	3.151123
0.000	-0.316	3.141796
0.000	-0.100	3.141401
0.000	-0.032	3.141327
0.000	-0.010	3.141307
0.000	0.000	3.141299
0.000	0.010	3.141290
0.000	0.032	3.141273
0.000	0.100	3.141225
0.000	0.316	3.141127
0.000	1.000	3.141022
0.000	3.162	3.140975
0.000	-3.162	100.371515
0.000	-1.000	3.160385
0.000	-0.316	3.142563
0.000	-0.100	3.141809
0.000	-0.032	3.141668
0.000	-0.010	3.141629
0.000	0.000	3.141613
0.000	0.010	3.141596
0.000	0.032	3.141563
0.000	0.100	3.141472
0.000	0.316	3.141284
0.000	1.000	3.141084
0.000	3.162	3.140995
0.000	-3.162	100.052168
0.000	-1.000	3.169663
0.000	-0.316	3.143331
0.000	-0.100	3.142217
